V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,2,2,2,1,1,1,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,1,2,2,3,2,2,2,2,3,5,4,4,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,3,1,0,1,2,1,2,1,1,1,2,2,3,5,4,6,4,4,6,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,2,0,2,1,4,2,1,1,1,1,1,2,2,2,5,4,4,6,5,2,5,7,6,5,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,3,2,0,0,1,0,2,3,3,2,1,1,2,1,4,0,1,1,1,1,1,1,2,2,3,4,5,3,2,1,5,6,5,5,3,3,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,2,3,2,0,0,1,0,2,2,1,1,0,1,3,1,6,0,1,1,0,2,2,2,3,2,3,5,3,4,3,1,9,15,9,8,6,6,8,8,8,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,1,2,3,0,0,1,2,2,0,2,1,1,0,2,3,4,5,0,1,1,0,2,1,1,0,4,7,5,3,6,5,6,7,12,9,8,6,9,13,8,8,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,2,3,4,1,1,0,1,2,2,3,4,1,0,2,1,3,4,3,0,1,1,1,1,1,3,4,5,7,4,5,5,7,8,8,10,12,8,10,14,13,16,11,7,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,3,3,3,2,2,0,0,0,0,2,3,5,4,2,1,3,3,2,1,0,0,0,0,1,1,2,2,3,4,4,3,4,5,9,6,6,5,6,6,4,6,12,9,6,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0
16,0,1,3,3,3,3,3,1,0,0,0,1,3,3,4,3,2,1,3,2,1,0,1,2,0,2,2,2,3,3,3,3,5,5,6,7,4,5,5,6,4,6,6,3,7,10,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0
17,0,1,1,3,4,2,2,2,2,0,0,2,1,4,6,4,3,1,2,3,0,0,0,2,2,2,2,2,3,3,3,3,4,6,7,5,6,5,6,4,8,6,7,6,4,6,4,5,6,5,4,1,0,0,0,0,0,0,0,0,0
18,0,1,3,5,2,3,2,2,2,2,0,0,2,5,3,6,3,1,3,2,5,2,2,1,2,3,2,2,2,2,2,2,3,4,6,7,5,5,6,4,6,5,5,4,5,4,2,1,4,6,5,3,0,0,0,0,0,0,0,0,0
19,1,1,2,3,3,1,2,1,4,3,2,3,4,4,6,4,0,2,2,2,2,3,2,2,4,4,2,1,3,2,4,5,3,5,7,7,6,7,5,3,4,4,5,5,6,4,3,1,3,4,5,5,4,4,2,0,0,0,0,0,0
20,2,4,3,3,2,2,2,3,4,6,6,4,4,5,4,2,2,2,2,3,4,2,2,4,5,4,6,6,4,1,4,4,4,8,7,9,6,6,3,2,2,5,3,2,4,5,6,6,6,5,4,6,5,3,2,0,0,0,0,0,0
21,5,5,3,3,1,5,4,4,6,4,4,2,4,4,3,2,1,1,2,1,1,2,2,3,2,1,1,1,4,3,3,5,6,8,8,7,8,7,5,3,3,3,4,2,2,4,7,5,7,6,4,6,5,4,3,1,0,0,0,0,0
22,1,6,3,3,1,4,3,5,5,3,2,2,1,4,2,2,1,1,1,2,3,3,2,2,2,1,0,1,3,2,2,3,9,11,5,6,7,7,5,4,3,4,1,4,3,3,2,2,5,5,6,7,6,6,2,1,0,3,1,1,0
23,0,4,7,2,4,4,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,2,2,2,3,0,0,1,4,3,3,3,7,6,6,5,5,5,4,4,4,4,3,3,2,3,2,2,4,5,5,5,6,5,2,1,1,1,2,2,0
24,1,5,5,1,5,4,4,5,5,4,5,3,1,1,1,1,1,1,1,1,1,2,3,3,1,0,1,3,5,3,4,4,5,5,5,5,5,5,5,4,5,4,3,3,2,1,1,1,0,0,0,0,2,1,1,2,2,2,1,1,0
25,2,5,5,4,6,1,1,3,5,5,4,3,1,2,2,2,3,3,2,2,2,2,3,1,0,0,1,3,5,4,5,4,5,5,4,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0
26,0,3,3,3,3,4,2,3,5,5,4,3,1,3,3,3,3,2,3,3,4,1,0,0,1,0,1,4,4,5,5,5,5,5,4,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
