,Ichthyomyzon castaneus,Ichthyomyzon gagei,Ichthyomyzon greeleyi,Lampetra aepyptera,Lampetra appendix,Scaphirhynchus platorynchus ,Scaphirhynchus suttkusi,Polyodon spathula,Atractosteus spatula,Lepisosteus oculatus,Lepisosteus osseus,Lepisosteus platostomus,Amia calva,Hiodon alosoides,Hiodon tergisus,Anguilla rostrata,Dorosoma cepedianum,Dorosoma petenense,Campostoma oligolepis,Campostoma pauciradii,Clinostomus funduloides,Cyprinella caerulea,Cyprinella callistia,Cyprinella callitaenia,Cyprinella galactura,Cyprinella gibbsi,Cyprinella lutrensis,Erimonax monachus ,Cyprinella spiloptera,Cyprinella trichroistia,Cyprinella venusta,Cyprinella whipplei,Cyprinus carpio,Erimystax dissimilis,Erimystax insignis,Hemitremia flammea,Hybognathus hayi,Hybognathus nuchalis,Hybopsis amblops,Hybopsis lineapunctata,Hybopsis winchelli,Luxilus chrysocephalus,Luxilus coccogenis,Luxilus zonistius,Lythrurus alegnotus,Lythrurus ardens,Lythrurus atrapiculus,Lythrurus bellus,Lythrurus fasciolaris,Lythrurus fumeus,Lythrurus lirus,Lythrurus roseipinnis,Macrhybobsis aestivalis hyostoma,Macrhybopsis storeriana,Nocomis leptocephalus,Nocomis micropogon,Notemigonus crysoleucas,Notropis albizonatus,Notropis ammophilus,Notropis ariommus,Notropis asperifrons,Notropis atherinoides,Notropis baileyi,Notropis boops,Notropis buccatus,Notropis buchanani,Notropis cahabae,Notropis candidus,Notropis chalybaeus,Notropis chrosomus,Notropis cummingsae,Notropis edwardraneyi,Notropis harperi,Notropis hypsilepis,Notropis leuciodus,Notropis longirostris,Notropis maculatus,Notropis micropteryx,Notopis rubellus,Notropis petersoni,Notropis photogenis,Notropis stilbius,Notropis telescopus,Notropis texanus,Notropis uranoscopus,Notropis volucellus,Notropis wickliffi,Notropis xaenocephalus,Notropis sp cf spectrunculus,Opsopoeodus emiliae,Phenacobius catostomus,Phenacobius mirabilis,Phenacobius uranops,Phoxinus erythrogaster,Pimephales notatus,Pimephales promelas,Pimephales vigilax,Pteronotropis euryzonus,Pteronotropis grandipinnis,Pteronotropis hypselopterus,Pteronotropis merlini,Pteronotropis signipinnis,Pteronotropis welaka,Rhinichthys atratulus,Semotilus atromaculatus,Semotilus thoreauianus,Carpiodes capio,Carpiodes cyprinus,Carpiodes velifer,Catostomus commersoni,Cycleptus elongatus,Cycleptus meridionalis,Erimyzon oblongus,Erimyzon sucetta,Erimyzon tenuis,Hypentelium etowanum,Hypentelium nigricans,Ictiobus bubalus,Ictiobus cyprinellus,Ictiobus niger,Minytrema melanops,Moxostoma anisurum,Moxostoma breviceps,Moxostoma carinatum,Moxostoma duquesnei,Moxostoma erythrurum,Moxostoma lachneri,Moxostoma macrolepidotum,Moxostoma poecilurum,Moxostoma sp cf poecilurum,Ameiurus brunneus,Ameiurus catus,Ameiurus melas,Ameiurus natalis,Ameiurus nebulosus,Ameiurus serracanthus,Ictalurus furcatus,Ictalurus punctatus,Noturus elegans,Noturus eleutherus,Noturus exilis,Noturus flavus,Noturus funebris,Noturus gyrinus,Noturus leptacanthus,Noturus miurus ,Noturus munitus,Noturus nocturnus,Pylodictis olivaris,Noturus phaeus ,Ariopsis felis,Esox americanus,Esox niger,Aphredoderus sayanus,Speoplatyrhinus poulsoni,Typhlichthys subterraneus,Mugil cephalus,Labidesthes sicculus,Fundulus albolineatus,Fundulus bifax,Fundulus blairae,Fundulus catenatus,Fundulus chrysotus,Fundulus cingulatus,Fundulus confluentus,Fundulus dispar,Fundulus escambia,Fundulus grandis,Fundulus jenkinsi,Fundulus notatus,Fundulus nottii,Fundulus olivaceus,Fundulus pulvereus,Fundulus stellifer,Leptolucania ommata,Lucania goodei,Lucania parva,Gambusia affinis,Gambusia holbrooki,Cyprinodon variegatus,Cottus bairdi,Cottus carolinae,Cottus paulus,Morone chrysops,Morone mississippiensis,Morone saxatilis,Ambloplites ariommus,Ambloplites rupestris,Centrarchus macropterus,Enneacanthus gloriosus,Enneacanthus obesus,Lepomis auritus,Lepomis cyanellus,Lepomis gulosus,Lepomis humilis,Lepomis macrochirus,Lepomis marginatus,Lepomis megalotis,Lepomis microlophus,Lepomis miniatus,Micropterus cataractae,Micropterus coosae,Micropterus dolomieui,Micropterus punctulatus,Micropterus salmoides,Pomoxis annularis,Pomoxis nigromaculatus,Ammocrypta beanii,Ammocrypta bifascia,Ammocrypta meridiana,Ammocrypta vivax,Crystallaria asprella,Etheostoma artesiae,Etheostoma bellator,Etheostoma blennioides,Etheostoma blennius,Etheostoma boschungi,Etheostoma brevirostrum,Etheostoma caeruleum,Etheostoma camurum,Etheostoma chermocki,Etheostoma chlorosoma,Etheostoma chuckwachatte,Etheostoma cinereum,Etheostoma colorosum,Etheostoma coosae,Etheostoma corona,Etheostoma crossopterum,Etheostoma davisoni,Etheostoma ditrema,Etheostoma douglasi,Etheostoma duryi,Etheostoma edwini,Etheostoma flabellare,Etheostoma fusiforme,Etheostoma histrio,Etheostoma jessiae,Ehteostoma jordani,Etheostoma kennicotti,Etheostoma lachneri,Etheostoma lynceum,Etheostoma neopterum,Etheostoma nigripinne,Etheostoma nigrum,Etheostoma nuchale,Etheostoma parvipinne,Etheostoma phytophilum,Etheostoma proeliare,Etheostoma ramseyi,Etheostoma rufilineatum,Ehteostoma rupestre,Etheostoma simoterum,Etheostoma stigmaeum,Etheostoma swaini,Etheostoma tallapoosae,Etheostoma trisella,Etheostoma tuscumbia,Etheostoma wapiti,Etheostoma zonale,Etheostoma zonifer,Etheostoma zonistium,Perca flavescens,Percina aurolineata,Percina austroperca,Percina brevicauda,Percina burtoni,Percina caprodes,Percina evides,Percina kathae,Percina lenticula,Percina maculata,Percina nigrofasciata,Percina palmaris,Percina sp cf palmaris,Percina phoxocephala,Percina sciera,Percina shumardi,Percina sipsi,Percina smithvanizi,Percina suttkusi,Percina tanasi,Percina vigil,Sander canadense,Sander vitreus,Aplodinotus grunniens,Elassoma alabamae,Elassoma evergladei,Elassoma zonatum
Tennesse Above Fall,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0
Tennesse Below Fall,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Tombigbee Upland,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
Tombigbee Lowland,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
Black Warrior Above Fall,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
Black Warrior Below Fall,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
Cahaba Above Fall,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
