,Acipenser_brevirostrum,Acipenser_oxyrinchus,Lepisosteus_osseus,Lepisosteus_platyrhincus,Amia_calva,Anguilla_rostrata,Campostoma_anomalum,Clinostomus_funduloides,Cyprinella_analostana,Cyprinella_chloristia,Cyprinella_galactura,Cyprinella_labrosa,Cyprinella_leedsi,Cyprinella_nivea,Cyprinella_pyrrhomelas,Cyprinella_zanema,Cyprinella_sp1,Hybognathus_regius,Hybopsis_hypsinotus,Hybopsis_rubrifrons,Luxilus_coccogenis,Nocomis_leptocephalus,Nocomis_micropogon,Notemigonus_crysoleucas,Notropis_alborus,Notropis_altipinnis,Notropis_amoenus,Notropis_bifrenatus,Notropis_chalybaeus,Notropis_chiliticus,Notropis_chlorocephalus,Notropis_cummingsae,Notropis_hudsonius,Notropis_leuciodus,Notropis_lutipinnis,Notropis_maculatus,Notropis_petersoni,Notropis_procne,Notropis_scepticus,Notropis_spectrunculus,Notropis_emiliae,Pimephales_promelas,Pteronotropis_stonei,Rhinichthys_cataractae,Rhinichthys_obtusus,Semotilus_atromaculatus,Semotilus_lumbee,Carpiodes_cyprinus,Carpiodes_velifer,Catostomus_commersonii,Erimyzon_oblongus,Erimyzon_sucetta,Hypentelium_nigricans,Minytrema_melanops,Moxostoma_collapsum,Moxostoma_macrolepidotum,Moxostoma_pappillosum,Moxostoma_robustum,Moxostoma_rupiscartes,Moxostoma_sp1,Moxostoma_sp2,Ameiurus_brunneus,Ameiurus_catus,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Ameiurus_platycephalus,Noturus_gyrinus,Noturus_marginatus,Noturus_leptacanthus,Noturus_sp1,Esox_americanus,Esox_niger,Umbra_pygmaea,Aphredoderus_sayanus,Chologaster_cornuta,Agonostoma_monticola,Labidesthes_sicculus,Fundulus_chrysotus,Fundulus_diaphanus,Fundulus_lineolatus,Lucania_goodei,Lucania_parva,Gambusia_holbrooki,Heterandria_formosa,Cottus_bairdi,Morone_americana,Morone_saxatilis,Acantharchus_pomotis,Ambloplites_rupestris,Centrarchus_macropterus,Enneacanthus_chaetodon,Enneacanthus_gloriosis,Enneacanthus_obesus,Lepomis_auritus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_marginatus,Lepomis_microlophus,Lepomis_punctatus,Micropterus_coosae,Pomoxis_nigromaculatus,Etheostoma_collis,Etheostoma_flabellare,Etheostoma_fricksium,Etheostoma_fusiformes,Etheostoma_hopkinsi,Etheostoma_inscriptum,Etheostoma_mariae,Etheostoma_olmstedi,Etheostoma_serrifer,Etheostoma_thalassinum,Etheostoma_zonale,Perca_flavescens,Percina_crassa,Percina_nigrofasciata,Elassoma_boehlkei,Elassoma_evergladei,Elassoma_okatie,Elassoma_zonatum,Trinectes_maculatus
Up_Savannah,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Low_Savannah,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1
Salk_Comb_Ash,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
Edisto,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1
Cooper,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
Up_Santee,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
Low_Santee,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1
Up_PeeDee,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Low_PeeDee,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1
Waccamaw,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1