"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
"1",12,19,22,9,8,8,3,7,15,9,4,12,7,12,12,8,8,7,13,11,11,7,4,5,3,3,3,8,10,8,14,13,13,12,10,14,12,13,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,1,0,1,1
"2",16,19,26,9,11,3,3,9,15,12,4,12,8,10,16,12,13,11,12,12,12,11,11,13,7,5,4,8,18,13,14,16,15,11,16,17,19,12,5,4,5,4,2,0,0,0,0,1,1,1,2,2,2,2,7,9,6,7,5,1,3
"3",9,22,13,6,14,12,10,11,13,13,7,9,7,5,8,5,5,7,7,10,8,9,8,12,12,6,8,12,20,12,13,13,23,32,30,24,26,23,26,26,29,19,18,18,7,9,8,7,5,2,2,3,15,16,9,6,7,7,7,6,3
"4",4,14,23,11,10,12,11,12,14,11,8,9,7,7,11,11,8,8,7,4,3,5,6,8,12,5,5,6,16,16,16,21,36,26,21,20,22,26,29,30,31,29,24,22,24,18,11,9,16,23,26,30,23,12,7,8,8,7,17,13,4
"5",12,20,12,10,7,12,7,10,13,9,3,7,6,9,13,10,8,6,8,6,7,8,8,6,12,10,7,8,17,19,21,20,45,47,24,22,31,30,30,34,23,24,22,19,26,23,18,10,24,27,25,28,22,12,9,13,14,14,10,9,6
"6",16,14,15,8,2,9,6,9,14,11,5,4,7,10,8,7,7,7,4,3,4,7,7,6,7,12,17,13,25,29,21,19,29,44,36,32,32,30,41,35,20,24,34,22,22,22,41,31,35,27,19,22,16,18,20,13,5,0,0,0,0
"7",11,10,12,12,5,3,3,9,5,11,8,9,9,10,13,5,8,9,7,9,11,9,11,11,16,17,25,30,36,21,24,27,25,37,50,40,36,30,39,37,28,32,37,26,35,40,34,29,36,24,11,22,21,20,12,4,0,0,0,0,0
"8",10,8,12,12,8,1,3,3,9,6,3,6,9,8,14,8,4,4,5,7,6,12,10,12,16,16,14,16,32,30,22,31,27,35,52,49,41,50,56,54,44,42,42,41,44,32,23,13,14,19,20,25,30,27,20,8,0,0,0,0,0
"9",13,10,22,20,5,6,5,2,4,4,1,1,5,11,11,13,7,2,5,6,10,9,8,9,11,13,18,15,17,29,24,24,25,37,48,49,34,37,45,34,33,32,33,32,39,22,19,18,21,26,31,25,23,8,0,0,0,0,0,0,0
"10",0,13,9,19,10,5,4,4,3,2,1,4,4,7,10,8,7,2,5,7,5,3,4,9,10,12,13,17,23,31,29,29,36,38,54,36,42,50,39,34,54,41,41,43,31,20,19,24,31,37,30,10,0,0,0,0,0,0,0,0,0
"11",0,14,21,25,17,6,5,2,2,4,1,2,6,6,8,7,5,3,8,5,5,5,6,8,8,11,12,19,22,28,28,27,49,55,62,52,35,50,45,51,37,44,47,33,32,30,25,27,36,33,17,1,0,0,0,0,0,0,0,0,0
"12",0,0,23,18,13,10,3,1,0,3,2,6,5,6,7,5,4,6,6,7,4,3,3,5,8,11,13,22,20,28,32,35,39,46,45,69,60,44,41,47,46,43,46,52,47,34,32,32,31,28,9,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,14,10,10,5,3,4,1,7,9,7,8,2,1,5,3,8,10,8,4,7,7,10,10,12,16,21,44,50,47,47,50,57,64,50,62,74,60,59,69,62,65,50,38,33,36,27,22,8,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,3,10,3,4,0,0,1,5,9,2,3,3,2,3,6,12,9,16,7,7,7,7,12,12,12,11,39,55,50,44,54,40,45,46,67,58,55,56,55,54,44,37,30,38,35,29,23,7,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,6,5,6,3,0,0,4,3,5,8,5,6,1,3,12,4,15,7,4,5,6,13,15,19,29,32,42,46,54,52,33,28,49,84,68,62,51,38,34,34,34,29,34,31,32,14,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,6,7,1,2,4,1,5,10,12,6,8,5,10,6,14,9,4,5,10,13,14,13,25,21,42,46,45,45,36,25,47,57,57,43,32,22,28,33,33,34,35,19,8,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,3,1,3,5,2,1,3,3,7,8,4,10,5,16,12,7,4,5,8,12,14,16,22,36,49,48,53,51,41,48,62,63,58,46,29,26,32,36,27,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,1,0,0,1,5,8,7,2,2,9,5,5,7,10,7,10,11,11,14,15,22,31,40,47,51,43,44,48,59,51,37,35,19,19,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,8,17,9,12,14,25,21,30,33,42,33,40,44,60,57,55,61,54,49,36,29,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,16,16,21,16,13,16,22,17,23,26,31,24,20,23,23,4,0,0,20,35,22,30,44,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,5,3,12,8,10,15,17,20,4,0,0,0,0,0,0,0,0,0,0,0,17,28,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,16,26,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,20,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
