,Cambarus acuminatus,Cambarus asperimanus,Cambarus bartonii,Cambarus carolinus,Cambarus chaugaensis,Cambarus diogenes,Cambarus hobbsorum,Cambarus howardi,Cambarus latimanus,Cambarus sp. cf. longirostris,Cambarus nodosus,Cambarus reduncus,Cambarus reflexus,Cambarus robustus,Cambarus spicatus,Cambarus striatus,Distocambarus carlsoni,Distocambarus crockeri,Distocambarus hunteri,Distocambarus youngineri,Fallicambarus fodiens,Faxonella clypeate,Procambarus actus,Procambarus ancylus,Procambarus barbatus,Procambarus blandingii,Procambarus braswelli,Procambarus chacei,Procambarus clarkii,Procambarus enchinatus,Procambarus enoplosternum,Procambarus hirsutus,Procambarus lepidodactylus,Procambarus lunzi,Procambarus pearsei,Procambarus pubescens,Procambarus raneyi,Procambarus spiculifer,Procambarus troglodytes
Up_Savannah,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Low_Savannah,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1
Salk_Comb_Ash,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
Edisto,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1
Cooper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Up_Santee,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
Low_Santee,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1
Up_PeeDee,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Low_PeeDee,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
Waccamaw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1