,Ichthyomyzon bdellium,Ichthyomyzon castaneus,Ichthyomyzon gagei,Ichthyomyzon greeleyi,Ichthyomyzon unicuspis,Lampetra aepyptera,Lampetra appendix,Acipenser fluvescens,Scaphirhynchus albus,Scaphirhynchus platorynchus,Polyson spathula,Atractosteus spatula,Lepisosteus oculatus,Lepisosteus osseus,Lepisosteus platostomus,Amia clava,Hiodon alosoides,Hiodon tergisus,Anguilla rostrata,Alosa alabamae,Alosa chrysochloris,Alosa pseudoharengus,Dorosoma cepedianum,Dorosoma petenense,Campostoma anomalum,Clinostomus funduloides,Cyprinella caerulea,Cyprinella callistia,Cyprinella camura,Cyprinella galactura,Cyprinella lutrensis,Cyprinella monacha,Cyprinella spiloptera,Cyprinella trichroistia,Cyprinella venusta,Cyprinella whipplei,Ericymba buccata,Erimystax cahni,Erimystax dissimilis,Erimystax insignis,Erimonax monachus ,Hemitremia flammea,Hybognathus hayi,Hybognathus nuchalis,Hybognathus placitus,Hybopsis amblops,Hybopsis amnis,Hybopsis lineapunctata,Luxilus chrysocephalus,Luxilus coccogenis,Lythrurus ardens,Lythrurus fumeus,Lythrurus lirus,Lythrurus umbratilis,Macrhybopsis aestivalis,Macrhybopsis gelida,Machrybopsis meeki,Machrybopsis storeriana,Nocomis effusus,Nocomis micropogon,Notemigonus cyrsoleucus,Notropis ammophilus,Notropis ariommus,Notropis asperifrons,Notropis atherinoides,Notropis blennius,Notropis boops,Notropis buchanani,Notropis chrosomus,Notropis dorsalis,Notropis leuciodus,Notropis maculatus,Notropis photogenis,Notropis rubellus,Notropis rubricuroceus,Notropis rupestris,Notropis shumardi,Notropis spectrunculus,Notropis stilbius,Notropis stramineus,Notropis telescopus,Notropis texanus,Notropis volucellus,Notropis wickliffi,Notropis xaenoceophalus,Notropis sp. (palezone shiner),Notropis sp. (sasfin shiner),Opsopoeodus emiliae,Phenacobius catostomus,Phenacobius crassilabrum,Phenacobius mirabilis,Phenacobius uronops,Phoxinus cumberlandensis,Phoxinus erythrogaster,Phoxinus tennesseensis,Pimephales notatus,Pimephales promelas,Pimephales vigilax,Platygobio gracilis,Rhinichthys atratulus,Rhinichtheys cataractae,Semotilus atromaculatus,Carpiodes carpio,Carpiodes cyprinus,Carpiodes velifer,Catostomus commersoni,Cycleptus elongatus,Erimyzon oblongus,Erimyzon sucetta,Hypentelium etowanum,Hypentelium nigricans,Ictiobus bubalus,Ictiobus cyprinellus,Ictiobus niger,Lagochila lacera,Minytrema melonops,Moxostoma anisurum,Moxostoma atripinne,Moxostoma carinatum,Moxostoma duquesnei,Moxostoma erythrurum,Moxostoma macrolepidotum,Moxostoma poecilurum,Ameiurus melas,Ameiurus natalis,Ameiurus nebulosus,Ictalurus furcatus,Ictalurus punctatus,Noturus baileyi,Noturus elegans,Noturus eleutherus,Noturus exilis,Noturus flavipinnis,Noturus flavus,Noturus gyinus,Noturus hidebrahdi,Noturus insignis,Noturus letacanthus,Noturus miurus,Noturus munitus,Noturus nocturnus,Noturus phaeus,Noturus stanauli,Noturus stigmosus,Pylodicits olivaris,Esox americanus,Esox masquinongy,Esox niger,Umbra limi,Osmerus mordax,Oncorhynchus mykiss,Salmo trutta,Salvelinus fontinalis,Aphredoderus sayanus,Forbesichthys agassizi,Typhilichthys subterraneus,Fundulus catenatus,Fundulus chrysotus,Fundulus dispar,Fundulus julisia,Fundulus notatus,Fundulus olivaceus,Fundulus stellifer,Gambusia affinis,Labidesthes sicculus,Menida beryllina,Mugil cephalus,Culaea inconstans,Cottus bairdi,Cottus carolinae,Morone chrysops,Morone mississippiensis,Elassoma zonatum,Ambloplites ariommus,Ambloplites rupestris,Centrarchus macropterus,Lepomis auritus,Lepomis cyanellus,Lepomis gibbosus,Lepomis gulosus,Lepomis humilis,Lepomis macrochirus,Lepomis marginatus,Lepomis megalotis,Lepomis microlophus,Lepomis miniatus,Lepomis symmetricus,Micropterus coosae,Micropterus dolomieu,Micropterus punctulatus,Mciropterus salmoides,Pomoxis annularis,Pomoxis nigromaculatus,Ammocrypta asprella,Ammocrypta beani,Ammocrypta clara,Ammocrypta vivax,Etheostoma acuticeps,Etheostoma akatulo ,Etheostoma aquali,Etheostoma asprigene,Etheostoma atripinne ,Etheostoma baileyi,Etheostoma barbouri,Etheostoma barrenense,Etheostoma basilare,Etheostoma bellum,Etheostoma bison,Etheostoma blenniodes,Etheostoma blennius,Etheostoma boschungi,Etheostoma caeruleum,Etheostoma camurum,Etheostoma cervus,Etheostoma chlorobranchium,Etheostoma chlorosomum,Etheostoma cinereum,Etheostoma coosae,Etheostoma crossoperum,Etheostoma derivativum ,Etheostoma ditrema,Etheostoma duryi,Etheostoma etnieri,Etheostoma flabellare,Etheostoma flavum,Etheostoma fusiforme,Etheostoma gracile,Etheostoma histrio,Etheostoma jordani,Etheostoma kennicotti,Etheostoma luteovinctum,Etheostoma lynceum,Etheostoma microlepidum,Etheostoma neopterum,Etheostoma oophylax,Etheostoma pseudovulatum,Etheostoma nigripinne,Etheostoma forbesi,Etheostoma nigrum,Etheostoma obeyense,Etheostoma olivaceum,Etheostoma parvipinne,Etheostoma proeliare,Etheostoma pyrrhogaster,Etheostoma rufilineatum,Etheostoma rupestre,Etheostoma sagitta,Etheostoma sanguifluum,Etheostoma simoterum,Etheostoma smithi,Etheostoma spectabile,Etheostoma squamiceps,Etheostoma stigmaeum,Etheostoma striatulum,Etheostoma swaini,Etheostoma swannanoa,Etheostoma tippecanoe,Etheostoma trisella,Etheostoma tuscumbia,Etheostoma virgatum,Etheostoma vulneratum,Etheostoma wapiti,Etheostoma zonale,Etheostoma zonistium,Etheostoma brevirostrum,Etheostoma sp. (Duskytail darter),Etheostoma corona,Perca flavescens,Percina antesella,Percina aurantiaca,Percina burtoni,Percina caprodes,Percina copelandi,Percina evides,Percina jenkinsi,Percina macrocephala,Percina maculata,Percina nigrofasciata,Percina palmaris,Percina phoxocephala,Percina sciera,Percina shumardi,Percina squamata,Percina tanasi,Percina vigil,Percina williamsi,Percina sp. (Bridled Darter),Percina sp. (Mobile Logperch),Percina stictogaster,Stizostedion canadense,Stizostedion vitreum,Aplodinotus grunniens
Mississippi River ,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
Big Sandy River,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Lower Tennessee,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1
Cumberland River,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
