,Ichthyomyzon bdellium,Ichthyomyzon castaneus,Ichthyomyzon fossor,Ichthyomyzon greeleyi,Ichthyomyzon unicuspis,Lampetra aepyptera,Lampetra appendix,Acipenser fulvescens,Scaphirhynchus albus ,Scaphirhynchus platorynchus ,Polyodon spathula,Atractosteus spatula,Lepisosteus oculatus,Lepisosteus osseus,Lepisosteus platostomus,Amia calva,Hiodon alosoides,Hiodon tergisus,Anguilla rostrata,Alosa alabamae,Alosa chrysochloris,Dorosoma cepedianum,Dorosoma petenense,Campostoma a. anomalum,Campostoma a. pullum,Campostoma oligolepis,Clinostomus elongatus,Clinostomus f. funduloides,Clinostomus f. estor,Ericymba buccata,Hybognathus hayi,Hybognathus nuchalis,Hybognathus placitus,Hybopsis aestivalis,Hybopsis amblops,Hybopsis dissimilis,Hybopsis gelida,Hybopsis gracilis,Hybopsis insignis,Hybopsis meeki,Hybopsis storeriana,Hybopsis x-punctata,Nocomis effusus,Nocomis micropogon,Notemigonus crysoleucas,Notropis ardens,Notropis ariommus,Notropis atherinoides,Notropis blennius,Notropis boops,Notropis buchanani,Notropis camurus,Notropis chrysocephalus,Notropis emiliae,Notropis fumeus,Notropis galacturus,Notropis hudsonius,Notropis leuciodus,Notropis lutrensis,Notropis maculatus,Notropis photogenis,Notropis rubellus,Notropis shumardi,Notropis spilopterus,Notropis stramineus,Notropis telescopus,Notropis umbratilis,Notropis venustus,Notropis volucellus,Notropis whipplei,Notropis sp. (Sawfin shiner),Notropis sp. (Palezone Shiner),Phenacobius mirabilis,Phenacobius uranops,Phoxinus erythrogaster,Pimephales notatus,Pimephales promelas,Pimephales vigilax,Rhinichthys atratulus,Rhinichthys cataractae,Semotilus atromaculatus,Carpiodes capio,Carpiodes cyprinus,Carpiodes velifer,Catostomus commersoni,Cycleptus elongatus,Erimyzon oblongus,Erimyzon sucetta,Hypentelium nigricans,Ictiobus bubalus,Ictiobus cyprinellus,Ictiobus niger,Minytrema melanops,Moxostoma anisurum,Moxostoma carinatum,Moxostoma duquesnei,Moxostoma erythrurum,Moxostoma macrolepidotum,Moxostoma poecilurum,Ameiurus melas,Ameiurus natalis,Ameiurus nebulosus,Ictalurus furcatus,Ictalurus punctatus,Noturus elegans (Green R. form),Noturus elegans (Barren R. form),Noturus eleutherus,Noturus exilis,Noturus flavus,Noturus flavus (Cumberland R. form),Noturus gyrinus,Noturus hildebrandi,Noturus miurus ,Noturus nocturnus,Noturus phaeus,Noturus stigmosus,Pylodictis olivaris,Esox americanus,Esox masquinongy,Esox niger,Umbra limi,Percopsis omiscomaycus,Aphredoderus sayanus,Amblyopsis spelaea,Chologaster agassizi,Typhlichthys subterraneus,Fundulus catenatus,Fundulus chrysotus,Fundulus dispar,Fundulus notatus,Fundulus olivaceus,Gambusia affinis,Labidesthes sicculus,Menidia beryllina,Cottus bairdi,Cottus carolinae,Morone chrysops,Morone mississippiensis,Ambloplites rupestris,Centrarchus macropterus,Lepomis cyanellus,Lepomis gibbosus,Lepomis gulosus,Lepomis humilis,Lepomis macrochirus,Lepomis marginatus,Lepomis megalotis,Lepomis microlophus,Lepomis punctatus,Lepomis symmetricus,Micropterus dolomieui,Micropterus punctulatus,Micropterus salmoides,Pomoxis annularis,Pomoxis nigromaculatus,Elassoma zonatum,Ammocrypta pellucida,Etheostoma asprigene,Etheostoma baileyi,Etheostoma b. blennioides,Etheostoma b. newmanii,Etheostoma caeruleum,Etheostoma camurum,Etheostoma chlorosomum,Etheostoma cinereum,Etheostoma crossopterum,Etheostoma flabellare,Etheostoma fusiforme,Etheostoma gracile,Etheostoma histrio,Etheostoma kennicotti,Etheostoma lynceum,Etheostoma maculatum,Etheostoma microlepidum,Etheostoma neopterum,Etheostoma n.nigrum,Etheostoma obeyense,Etheostoma parvipinne,Etheostoma proeliare,Etheostoma rufilineatum,Etheostoma sanguifluum,Etheostoma simoterum,Etheostoma smithi,Etheostoma spectabile,Etheostoma squamiceps,Etheostoma stigmaeum,Etheostoma swaini,Etheostoma tippecanoe,Etheostoma variatum,Etheostoma virgatum,Etheostoma zonale,Etheostoma sp. (Bandfin darter),Etheostoma sp. (Firebelly darter),Etheostoma sp. (Saffron darter),Perca flavescens,Percina caprodes,Percina copelandi,Percina evides,Percina macrocephala,Percina maculata,Percina oxyrhyncha,Percina phoxocephala,Percina sciera,Percina shumardi,Percina squamata,Percina stictogaster,Percina vigil,Stizostedion caanadense,Stizostedion vitreum,Aplodinotus grunniens
Mississippi R. Proper,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Running Slough & Oxbows ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bayou du Chien & Obion Creek,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Mayfield Creek,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Terrapin Creek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ohio R. Proper,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1
Tennessee R.,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
Clarks R.,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1
Lower Cumberland R. & Red R.,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1
